"REGION","COUNTRY","REPORTYEAR","POPULATION","donor_status","donor_type","donors"
"Europe","Albania",2010,3.2,"Actual","DBD",0
"Europe","Albania",2010,3.2,"Actual","DCD",0
"Europe","Albania",2011,3.2,"Actual","DBD",0
"Europe","Albania",2011,3.2,"Actual","DCD",0
"Europe","Albania",2011,3.2,"Utilized","DBD",0
"Europe","Albania",2011,3.2,"Utilized","DCD",0
"Europe","Albania",2012,3.2,"Actual","DBD",0
"Europe","Albania",2012,3.2,"Actual","DCD",0
"Europe","Albania",2012,3.2,"Utilized","DBD",0
"Europe","Albania",2012,3.2,"Utilized","DCD",0
"Europe","Albania",2014,3.2,"Actual","DBD",0
"Europe","Albania",2014,3.2,"Actual","DCD",0
"Africa","Algeria",2009,34.9,"Actual","DBD",0
"Africa","Algeria",2009,34.9,"Actual","DCD",0
"Africa","Algeria",2011,36,"Actual","DBD",0
"Africa","Algeria",2011,36,"Actual","DCD",0
"Africa","Algeria",2012,36.5,"Actual","DBD",1
"Africa","Algeria",2012,36.5,"Actual","DCD",0
"Africa","Algeria",2013,39.2,"Actual","DBD",0
"Africa","Algeria",2013,39.2,"Actual","DCD",0
"Africa","Algeria",2013,39.2,"Utilized","DBD",0
"Africa","Algeria",2013,39.2,"Utilized","DCD",0
"Africa","Algeria",2014,39.9,"Actual","DBD",1
"Africa","Algeria",2014,39.9,"Actual","DCD",0
"Africa","Algeria",2014,39.9,"Utilized","DBD",1
"Africa","Algeria",2014,39.9,"Utilized","DCD",0
"America","Argentina",2004,38.9,"Actual","DBD",403
"America","Argentina",2005,38.7,"Actual","DBD",407
"America","Argentina",2007,39.5,"Actual","DBD",486
"America","Argentina",2009,40.3,"Actual","DBD",500
"America","Argentina",2009,40.3,"Actual","DCD",0
"America","Argentina",2010,40.7,"Actual","DBD",583
"America","Argentina",2010,40.7,"Actual","DCD",0
"America","Argentina",2011,40.8,"Actual","DBD",604
"America","Argentina",2011,40.8,"Actual","DCD",0
"America","Argentina",2012,41.1,"Actual","DBD",630
"America","Argentina",2012,41.1,"Actual","DCD",0
"America","Argentina",2013,41.4,"Actual","DBD",568
"America","Argentina",2013,41.4,"Actual","DCD",0
"America","Argentina",2013,41.4,"Utilized","DBD",516
"America","Argentina",2013,41.4,"Utilized","DCD",0
"America","Argentina",2014,41.8,"Actual","DBD",555
"America","Argentina",2014,41.8,"Actual","DCD",0
"America","Argentina",2014,41.8,"Utilized","DBD",507
"America","Argentina",2014,41.8,"Utilized","DCD",0
"Europe","Armenia",2005,3,"Actual","DBD",0
"Europe","Armenia",2005,3,"Actual","DCD",0
"Europe","Armenia",2012,3.1,"Actual","DBD",0
"Europe","Armenia",2012,3.1,"Actual","DCD",0
"Europe","Armenia",2013,3,"Actual","DBD",0
"Europe","Armenia",2013,3,"Actual","DCD",0
"Europe","Armenia",2013,3,"Utilized","DBD",0
"Europe","Armenia",2013,3,"Utilized","DCD",0
"Europe","Armenia",2014,3,"Actual","DBD",0
"Europe","Armenia",2014,3,"Actual","DCD",0
"Europe","Armenia",2014,3,"Utilized","DBD",0
"Europe","Armenia",2014,3,"Utilized","DCD",0
"Western Pacific","Australia",2000,18.9,"Actual","DBD",195
"Western Pacific","Australia",2001,19.3,"Actual","DBD",180
"Western Pacific","Australia",2002,19.5,"Actual","DBD",206
"Western Pacific","Australia",2003,19.7,"Actual","DBD",178
"Western Pacific","Australia",2003,19.7,"Actual","DCD",1
"Western Pacific","Australia",2004,19.9,"Actual","DBD",214
"Western Pacific","Australia",2004,19.9,"Actual","DCD",4
"Western Pacific","Australia",2005,20.2,"Actual","DBD",195
"Western Pacific","Australia",2005,20.2,"Actual","DCD",9
"Western Pacific","Australia",2007,20.6,"Actual","DBD",179
"Western Pacific","Australia",2007,20.6,"Actual","DCD",19
"Western Pacific","Australia",2008,21,"Actual","DBD",236
"Western Pacific","Australia",2008,21,"Actual","DCD",23
"Western Pacific","Australia",2009,21.3,"Actual","DBD",205
"Western Pacific","Australia",2009,21.3,"Actual","DCD",42
"Western Pacific","Australia",2010,21.5,"Actual","DBD",235
"Western Pacific","Australia",2010,21.5,"Actual","DCD",67
"Western Pacific","Australia",2011,22.6,"Actual","DBD",251
"Western Pacific","Australia",2011,22.6,"Actual","DCD",86
"Western Pacific","Australia",2011,22.6,"Utilized","DBD",84
"Western Pacific","Australia",2011,22.6,"Utilized","DCD",329
"Western Pacific","Australia",2012,22.9,"Actual","DBD",277
"Western Pacific","Australia",2012,22.9,"Actual","DCD",77
"Western Pacific","Australia",2013,23.3,"Actual","DBD",305
"Western Pacific","Australia",2013,23.3,"Actual","DCD",86
"Western Pacific","Australia",2013,23.3,"Utilized","DBD",285
"Western Pacific","Australia",2013,23.3,"Utilized","DCD",77
"Europe","Austria",2000,8.2,"Actual","DBD",194
"Europe","Austria",2000,8.2,"Actual","DCD",0
"Europe","Austria",2001,8.1,"Actual","DBD",191
"Europe","Austria",2002,8.1,"Actual","DBD",195
"Europe","Austria",2003,8.1,"Actual","DBD",187
"Europe","Austria",2003,8.1,"Actual","DCD",2
"Europe","Austria",2004,8.1,"Actual","DBD",182
"Europe","Austria",2004,8.1,"Actual","DCD",3
"Europe","Austria",2005,8.2,"Actual","DBD",201
"Europe","Austria",2005,8.2,"Actual","DCD",2
"Europe","Austria",2006,8.2,"Actual","DBD",203
"Europe","Austria",2006,8.2,"Actual","DCD",4
"Europe","Austria",2007,8.2,"Actual","DBD",180
"Europe","Austria",2007,8.2,"Actual","DCD",5
"Europe","Austria",2008,8.4,"Actual","DBD",169
"Europe","Austria",2008,8.4,"Actual","DCD",3
"Europe","Austria",2009,8.4,"Actual","DBD",213
"Europe","Austria",2009,8.4,"Actual","DCD",1
"Europe","Austria",2009,8.4,"Utilized","DBD",209
"Europe","Austria",2009,8.4,"Utilized","DCD",1
"Europe","Austria",2010,8.4,"Actual","DBD",196
"Europe","Austria",2011,8.4,"Actual","DBD",199
"Europe","Austria",2011,8.4,"Actual","DCD",6
"Europe","Austria",2012,8.4,"Actual","DBD",194
"Europe","Austria",2012,8.4,"Actual","DCD",4
"Europe","Austria",2013,8.5,"Actual","DBD",203
"Europe","Austria",2013,8.5,"Actual","DCD",5
"Europe","Austria",2013,8.5,"Utilized","DBD",184
"Europe","Austria",2013,8.5,"Utilized","DCD",3
"Europe","Austria",2014,8.5,"Actual","DBD",206
"Europe","Austria",2014,8.5,"Actual","DCD",6
"Europe","Austria",2014,8.5,"Utilized","DBD",201
"Europe","Austria",2014,8.5,"Utilized","DCD",6
"Europe","Azerbaijan",2011,9.3,"Actual","DBD",0
"Europe","Azerbaijan",2011,9.3,"Actual","DCD",0
"Europe","Azerbaijan",2011,9.3,"Utilized","DBD",0
"Europe","Azerbaijan",2011,9.3,"Utilized","DCD",0
"Europe","Azerbaijan",2012,9.4,"Actual","DBD",0
"Europe","Azerbaijan",2012,9.4,"Actual","DCD",0
"Europe","Azerbaijan",2012,9.4,"Utilized","DBD",0
"Europe","Azerbaijan",2012,9.4,"Utilized","DCD",0
"Europe","Azerbaijan",2013,9.4,"Actual","DBD",0
"Europe","Azerbaijan",2013,9.4,"Actual","DCD",0
"Europe","Azerbaijan",2013,9.4,"Utilized","DBD",0
"Europe","Azerbaijan",2013,9.4,"Utilized","DCD",0
"Europe","Azerbaijan",2014,9.5,"Actual","DBD",0
"Europe","Azerbaijan",2014,9.5,"Actual","DCD",0
"Europe","Azerbaijan",2014,9.5,"Utilized","DBD",0
"Europe","Azerbaijan",2014,9.5,"Utilized","DCD",0
"Eastern Mediterranean","Bahrain",2006,0.7,"Actual","DCD",0
"Europe","Belarus",2005,9.8,"Actual","DBD",4
"Europe","Belarus",2011,9.6,"Actual","DBD",96
"Europe","Belarus",2011,9.6,"Actual","DCD",0
"Europe","Belarus",2012,9.5,"Actual","DBD",106
"Europe","Belarus",2012,9.5,"Actual","DCD",0
"Europe","Belarus",2013,9.4,"Actual","DBD",170
"Europe","Belarus",2013,9.4,"Actual","DCD",0
"Europe","Belarus",2013,9.4,"Utilized","DBD",165
"Europe","Belarus",2013,9.4,"Utilized","DCD",0
"Europe","Belarus",2014,9.3,"Actual","DBD",165
"Europe","Belarus",2014,9.3,"Actual","DCD",0
"Europe","Belarus",2014,9.3,"Utilized","DBD",160
"Europe","Belarus",2014,9.3,"Utilized","DCD",0
"Europe","Belgium",2000,10.2,"Actual","DBD",256
"Europe","Belgium",2001,10.3,"Actual","DBD",222
"Europe","Belgium",2002,10.3,"Actual","DBD",223
"Europe","Belgium",2003,10.3,"Actual","DBD",223
"Europe","Belgium",2003,10.3,"Actual","DCD",14
"Europe","Belgium",2004,10.3,"Actual","DBD",222
"Europe","Belgium",2004,10.3,"Actual","DCD",5
"Europe","Belgium",2005,10.4,"Actual","DBD",238
"Europe","Belgium",2005,10.4,"Actual","DCD",10
"Europe","Belgium",2006,10.4,"Actual","DBD",249
"Europe","Belgium",2006,10.4,"Actual","DCD",33
"Europe","Belgium",2007,10.5,"Actual","DBD",259
"Europe","Belgium",2007,10.5,"Actual","DCD",39
"Europe","Belgium",2008,10.5,"Actual","DBD",232
"Europe","Belgium",2008,10.5,"Actual","DCD",42
"Europe","Belgium",2009,10.6,"Actual","DBD",224
"Europe","Belgium",2009,10.6,"Actual","DCD",61
"Europe","Belgium",2009,10.6,"Utilized","DBD",216
"Europe","Belgium",2009,10.6,"Utilized","DCD",60
"Europe","Belgium",2010,10.7,"Actual","DBD",171
"Europe","Belgium",2010,10.7,"Actual","DCD",50
"Europe","Belgium",2011,10.8,"Actual","DBD",267
"Europe","Belgium",2011,10.8,"Actual","DCD",64
"Europe","Belgium",2012,10.8,"Actual","DBD",255
"Europe","Belgium",2012,10.8,"Actual","DCD",71
"Europe","Belgium",2013,11.1,"Actual","DBD",246
"Europe","Belgium",2013,11.1,"Actual","DCD",78
"Europe","Belgium",2013,11.1,"Utilized","DBD",241
"Europe","Belgium",2013,11.1,"Utilized","DCD",65
"Europe","Belgium",2014,11.1,"Actual","DBD",216
"Europe","Belgium",2014,11.1,"Actual","DCD",83
"South-East Asia","Bhutan",2009,0.7,"Actual","DBD",0
"South-East Asia","Bhutan",2009,0.7,"Actual","DCD",0
"South-East Asia","Bhutan",2010,0.7,"Actual","DBD",0
"South-East Asia","Bhutan",2010,0.7,"Actual","DCD",0
"South-East Asia","Bhutan",2011,0.7,"Actual","DBD",0
"South-East Asia","Bhutan",2011,0.7,"Actual","DCD",0
"South-East Asia","Bhutan",2011,0.7,"Utilized","DBD",0
"South-East Asia","Bhutan",2011,0.7,"Utilized","DCD",0
"South-East Asia","Bhutan",2012,0.8,"Actual","DBD",0
"South-East Asia","Bhutan",2012,0.8,"Actual","DCD",0
"South-East Asia","Bhutan",2012,0.8,"Utilized","DBD",0
"South-East Asia","Bhutan",2012,0.8,"Utilized","DCD",0
"South-East Asia","Bhutan",2013,0.8,"Actual","DBD",0
"South-East Asia","Bhutan",2013,0.8,"Actual","DCD",0
"South-East Asia","Bhutan",2013,0.8,"Utilized","DBD",0
"South-East Asia","Bhutan",2013,0.8,"Utilized","DCD",0
"South-East Asia","Bhutan",2014,0.8,"Actual","DBD",0
"South-East Asia","Bhutan",2014,0.8,"Actual","DCD",0
"South-East Asia","Bhutan",2014,0.8,"Utilized","DBD",0
"South-East Asia","Bhutan",2014,0.8,"Utilized","DCD",0
"America","Bolivia (Plurinational State of)",2010,10.7,"Actual","DBD",15
"America","Bolivia (Plurinational State of)",2010,10.7,"Actual","DCD",0
"America","Bolivia (Plurinational State of)",2004,9,"Actual","DBD",3
"America","Bolivia (Plurinational State of)",2011,10.1,"Actual","DBD",10
"America","Bolivia (Plurinational State of)",2011,10.1,"Actual","DCD",0
"America","Bolivia (Plurinational State of)",2012,10.2,"Actual","DBD",10
"America","Bolivia (Plurinational State of)",2012,10.2,"Actual","DCD",0
"America","Bolivia (Plurinational State of)",2013,10.7,"Actual","DBD",10
"America","Bolivia (Plurinational State of)",2013,10.7,"Actual","DCD",0
"America","Bolivia (Plurinational State of)",2014,10.8,"Actual","DBD",9
"America","Bolivia (Plurinational State of)",2014,10.8,"Actual","DCD",0
"America","Bolivia (Plurinational State of)",2014,10.8,"Utilized","DBD",9
"America","Bolivia (Plurinational State of)",2014,10.8,"Utilized","DCD",0
"Europe","Bosnia and Herzegovina",2013,3.8,"Actual","DBD",1
"Europe","Bosnia and Herzegovina",2013,3.8,"Actual","DCD",0
"Europe","Bosnia and Herzegovina",2013,3.8,"Utilized","DBD",1
"Europe","Bosnia and Herzegovina",2013,3.8,"Utilized","DCD",0
"Europe","Bosnia and Herzegovina",2014,3.8,"Actual","DBD",4
"Europe","Bosnia and Herzegovina",2014,3.8,"Actual","DCD",0
"Europe","Bosnia and Herzegovina",2014,3.8,"Utilized","DBD",4
"Europe","Bosnia and Herzegovina",2014,3.8,"Utilized","DCD",0
"America","Brazil",2004,180.7,"Actual","DBD",1408
"America","Brazil",2005,186.4,"Actual","DBD",1688
"America","Brazil",2010,195.4,"Actual","DBD",1934
"America","Brazil",2011,196.7,"Actual","DBD",2207
"America","Brazil",2011,196.7,"Actual","DCD",0
"America","Brazil",2012,198.4,"Actual","DBD",2451
"America","Brazil",2012,198.4,"Actual","DCD",0
"America","Brazil",2013,200.4,"Actual","DBD",2541
"America","Brazil",2013,200.4,"Actual","DCD",0
"America","Brazil",2013,200.4,"Utilized","DBD",2418
"America","Brazil",2013,200.4,"Utilized","DCD",0
"America","Brazil",2014,202,"Actual","DBD",2710
"America","Brazil",2014,202,"Actual","DCD",0
"America","Brazil",2014,202,"Utilized","DBD",2465
"America","Brazil",2014,202,"Utilized","DCD",0
"Europe","Bulgaria",2000,8.2,"Actual","DBD",26
"Europe","Bulgaria",2001,7.9,"Actual","DBD",2
"Europe","Bulgaria",2002,7.8,"Actual","DBD",8
"Europe","Bulgaria",2003,7.9,"Actual","DBD",12
"Europe","Bulgaria",2004,7.8,"Actual","DBD",7
"Europe","Bulgaria",2005,7.7,"Actual","DBD",6
"Europe","Bulgaria",2007,7.6,"Actual","DBD",9
"Europe","Bulgaria",2007,7.6,"Actual","DCD",0
"Europe","Bulgaria",2008,7.6,"Actual","DBD",8
"Europe","Bulgaria",2009,7.5,"Actual","DBD",11
"Europe","Bulgaria",2009,7.5,"Actual","DCD",0
"Europe","Bulgaria",2009,7.5,"Utilized","DBD",11
"Europe","Bulgaria",2009,7.5,"Utilized","DCD",0
"Europe","Bulgaria",2010,7.5,"Actual","DBD",20
"Europe","Bulgaria",2010,7.5,"Actual","DCD",0
"Europe","Bulgaria",2011,7.4,"Actual","DBD",4
"Europe","Bulgaria",2011,7.4,"Actual","DCD",0
"Europe","Bulgaria",2012,7.4,"Actual","DBD",2
"Europe","Bulgaria",2012,7.4,"Actual","DCD",0
"Europe","Bulgaria",2013,7.2,"Actual","DBD",21
"Europe","Bulgaria",2013,7.2,"Actual","DCD",0
"Europe","Bulgaria",2013,7.2,"Utilized","DBD",10
"Europe","Bulgaria",2013,7.2,"Utilized","DCD",0
"Europe","Bulgaria",2014,7.2,"Actual","DBD",38
"Europe","Bulgaria",2014,7.2,"Actual","DCD",0
"Europe","Bulgaria",2014,7.2,"Utilized","DBD",22
"Europe","Bulgaria",2014,7.2,"Utilized","DCD",0
"Africa","Cameroon",2009,19.5,"Actual","DBD",0
"Africa","Cameroon",2009,19.5,"Actual","DCD",0
"Africa","Cameroon",2011,20,"Actual","DBD",0
"Africa","Cameroon",2011,20,"Actual","DCD",0
"Africa","Cameroon",2011,20,"Utilized","DBD",0
"Africa","Cameroon",2011,20,"Utilized","DCD",0
"Africa","Cameroon",2012,20.5,"Actual","DBD",0
"Africa","Cameroon",2012,20.5,"Actual","DCD",0
"Africa","Cameroon",2012,20.5,"Utilized","DBD",0
"Africa","Cameroon",2012,20.5,"Utilized","DCD",0
"Africa","Cameroon",2013,22.3,"Actual","DBD",0
"Africa","Cameroon",2013,22.3,"Actual","DCD",0
"Africa","Cameroon",2013,22.3,"Utilized","DBD",0
"Africa","Cameroon",2013,22.3,"Utilized","DCD",0
"Africa","Cameroon",2014,22.8,"Actual","DBD",0
"Africa","Cameroon",2014,22.8,"Actual","DCD",0
"Africa","Cameroon",2014,22.8,"Utilized","DBD",0
"Africa","Cameroon",2014,22.8,"Utilized","DCD",0
"America","Canada",2000,31.1,"Actual","DBD",475
"America","Canada",2000,31.1,"Utilized","DCD",0
"America","Canada",2001,31,"Actual","DBD",420
"America","Canada",2001,31,"Utilized","DCD",0
"America","Canada",2002,31.3,"Actual","DBD",411
"America","Canada",2002,31.3,"Actual","DCD",0
"America","Canada",2002,31.3,"Utilized","DCD",0
"America","Canada",2003,31.5,"Actual","DBD",428
"America","Canada",2003,31.5,"Actual","DCD",0
"America","Canada",2003,31.5,"Utilized","DCD",0
"America","Canada",2004,31.7,"Actual","DBD",414
"America","Canada",2004,31.7,"Utilized","DCD",0
"America","Canada",2005,32.3,"Actual","DBD",414
"America","Canada",2005,32.3,"Utilized","DCD",0
"America","Canada",2006,32.6,"Actual","DBD",464
"America","Canada",2006,32.6,"Actual","DCD",4
"America","Canada",2006,32.6,"Utilized","DCD",4
"America","Canada",2007,32.9,"Actual","DBD",471
"America","Canada",2007,32.9,"Actual","DCD",22
"America","Canada",2007,32.9,"Utilized","DCD",22
"America","Canada",2008,33.2,"Actual","DBD",446
"America","Canada",2008,33.2,"Actual","DCD",40
"America","Canada",2008,33.2,"Utilized","DCD",40
"America","Canada",2009,33.6,"Actual","DBD",444
"America","Canada",2009,33.6,"Actual","DCD",43
"America","Canada",2009,33.6,"Utilized","DCD",43
"America","Canada",2010,33.9,"Actual","DBD",423
"America","Canada",2010,33.9,"Actual","DCD",72
"America","Canada",2010,33.9,"Utilized","DCD",45
"America","Canada",2011,34.3,"Actual","DBD",466
"America","Canada",2011,34.3,"Actual","DCD",65
"America","Canada",2011,34.3,"Utilized","DCD",67
"America","Canada",2012,34.7,"Actual","DBD",460
"America","Canada",2012,34.7,"Actual","DCD",82
"America","Canada",2013,35.2,"Utilized","DCD",66
"America","Canada",2014,35.5,"Utilized","DCD",125
"America","Colombia",2004,44.9,"Actual","DBD",258
"America","Colombia",2005,45.6,"Actual","DBD",273
"America","Colombia",2009,45.7,"Actual","DBD",554
"America","Colombia",2010,46.3,"Actual","DBD",569
"America","Colombia",2010,46.3,"Actual","DCD",0
"America","Colombia",2011,46.9,"Actual","DBD",392
"America","Colombia",2011,46.9,"Actual","DCD",0
"America","Colombia",2012,47.6,"Actual","DBD",373
"America","Colombia",2012,47.6,"Actual","DCD",0
"America","Colombia",2013,48.3,"Actual","DBD",329
"America","Colombia",2013,48.3,"Actual","DCD",0
"America","Colombia",2013,48.3,"Utilized","DBD",323
"America","Colombia",2013,48.3,"Utilized","DCD",0
"America","Colombia",2014,48.9,"Actual","DBD",346
"America","Colombia",2014,48.9,"Actual","DCD",0
"America","Colombia",2014,48.9,"Utilized","DBD",336
"America","Colombia",2014,48.9,"Utilized","DCD",0
"America","Costa Rica",2009,4.6,"Actual","DBD",24
"America","Costa Rica",2009,4.6,"Actual","DCD",0
"America","Costa Rica",2010,4.6,"Actual","DBD",16
"America","Costa Rica",2010,4.6,"Actual","DCD",0
"America","Costa Rica",2012,4.8,"Actual","DBD",15
"America","Costa Rica",2012,4.8,"Actual","DCD",0
"America","Costa Rica",2013,4.9,"Actual","DBD",22
"America","Costa Rica",2013,4.9,"Actual","DCD",0
"America","Costa Rica",2013,4.9,"Utilized","DBD",22
"America","Costa Rica",2013,4.9,"Utilized","DCD",0
"America","Costa Rica",2014,4.9,"Actual","DBD",18
"America","Costa Rica",2014,4.9,"Actual","DCD",0
"America","Costa Rica",2014,4.9,"Utilized","DBD",18
"America","Costa Rica",2014,4.9,"Utilized","DCD",0
"Europe","Croatia",2000,4.5,"Actual","DBD",12
"Europe","Croatia",2001,4.7,"Actual","DBD",32
"Europe","Croatia",2002,4.7,"Actual","DBD",41
"Europe","Croatia",2003,4.4,"Actual","DBD",39
"Europe","Croatia",2004,4.4,"Actual","DBD",59
"Europe","Croatia",2005,4.6,"Actual","DBD",43
"Europe","Croatia",2005,4.6,"Actual","DCD",1
"Europe","Croatia",2007,4.6,"Actual","DBD",58
"Europe","Croatia",2008,4.6,"Actual","DBD",83
"Europe","Croatia",2009,4.4,"Utilized","DBD",77
"Europe","Croatia",2009,4.4,"Utilized","DCD",0
"Europe","Croatia",2010,4.4,"Actual","DBD",135
"Europe","Croatia",2010,4.4,"Actual","DCD",0
"Europe","Croatia",2011,4.4,"Actual","DBD",148
"Europe","Croatia",2011,4.4,"Actual","DCD",0
"Europe","Croatia",2012,4.4,"Actual","DBD",153
"Europe","Croatia",2012,4.4,"Actual","DCD",0
"Europe","Croatia",2013,4.3,"Actual","DBD",144
"Europe","Croatia",2013,4.3,"Actual","DCD",0
"Europe","Croatia",2014,4.3,"Actual","DBD",151
"Europe","Croatia",2014,4.3,"Actual","DCD",0
"America","Cuba",2004,11.3,"Actual","DBD",159
"America","Cuba",2005,11.3,"Actual","DBD",126
"America","Cuba",2007,11.3,"Actual","DBD",200
"America","Cuba",2009,11.2,"Actual","DBD",136
"America","Cuba",2009,11.2,"Actual","DCD",0
"America","Cuba",2010,11.2,"Actual","DBD",104
"America","Cuba",2011,11.3,"Actual","DBD",128
"America","Cuba",2011,11.3,"Actual","DCD",0
"America","Cuba",2012,11.2,"Actual","DBD",111
"America","Cuba",2012,11.2,"Actual","DCD",0
"America","Cuba",2013,11.3,"Actual","DBD",94
"America","Cuba",2013,11.3,"Actual","DCD",0
"America","Cuba",2013,11.3,"Utilized","DBD",89
"America","Cuba",2013,11.3,"Utilized","DCD",0
"America","Cuba",2014,11.3,"Actual","DBD",124
"America","Cuba",2014,11.3,"Actual","DCD",0
"America","Cuba",2014,11.3,"Utilized","DBD",120
"America","Cuba",2014,11.3,"Utilized","DCD",0
"Europe","Cyprus",2000,0.8,"Actual","DBD",5
"Europe","Cyprus",2001,0.8,"Actual","DBD",2
"Europe","Cyprus",2002,0.8,"Actual","DBD",7
"Europe","Cyprus",2003,0.8,"Actual","DBD",1
"Europe","Cyprus",2004,0.8,"Actual","DBD",8
"Europe","Cyprus",2005,0.8,"Actual","DBD",5
"Europe","Cyprus",2008,0.9,"Actual","DBD",13
"Europe","Cyprus",2009,0.9,"Utilized","DBD",8
"Europe","Cyprus",2009,0.9,"Utilized","DCD",0
"Europe","Cyprus",2010,0.9,"Actual","DBD",4
"Europe","Cyprus",2010,0.9,"Actual","DCD",0
"Europe","Cyprus",2011,1.1,"Actual","DBD",6
"Europe","Cyprus",2011,1.1,"Actual","DCD",0
"Europe","Cyprus",2012,1.1,"Actual","DBD",4
"Europe","Cyprus",2012,1.1,"Actual","DCD",0
"Europe","Cyprus",2013,1.1,"Actual","DBD",6
"Europe","Cyprus",2013,1.1,"Actual","DCD",0
"Europe","Cyprus",2013,1.1,"Utilized","DBD",6
"Europe","Cyprus",2013,1.1,"Utilized","DCD",0
"Europe","Cyprus",2014,1.2,"Actual","DBD",5
"Europe","Cyprus",2014,1.2,"Actual","DCD",0
"Europe","Cyprus",2014,1.2,"Utilized","DBD",5
"Europe","Cyprus",2014,1.2,"Utilized","DCD",0
"Europe","Czech Republic",2000,10.2,"Actual","DBD",175
"Europe","Czech Republic",2001,10.3,"Actual","DBD",172
"Europe","Czech Republic",2003,10.2,"Actual","DBD",189
"Europe","Czech Republic",2003,10.2,"Actual","DCD",2
"Europe","Czech Republic",2004,10.2,"Actual","DBD",209
"Europe","Czech Republic",2004,10.2,"Actual","DCD",2
"Europe","Czech Republic",2005,10.2,"Actual","DBD",204
"Europe","Czech Republic",2005,10.2,"Actual","DCD",3
"Europe","Czech Republic",2006,10.2,"Actual","DBD",191
"Europe","Czech Republic",2006,10.2,"Actual","DCD",2
"Europe","Czech Republic",2007,10.2,"Actual","DBD",215
"Europe","Czech Republic",2007,10.2,"Actual","DCD",2
"Europe","Czech Republic",2008,10.2,"Actual","DBD",197
"Europe","Czech Republic",2008,10.2,"Actual","DCD",1
"Europe","Czech Republic",2009,10.4,"Actual","DBD",200
"Europe","Czech Republic",2009,10.4,"Actual","DCD",0
"Europe","Czech Republic",2009,10.4,"Utilized","DBD",200
"Europe","Czech Republic",2009,10.4,"Utilized","DCD",0
"Europe","Czech Republic",2010,10.4,"Actual","DBD",204
"Europe","Czech Republic",2010,10.4,"Actual","DCD",2
"Europe","Czech Republic",2011,10.5,"Actual","DBD",184
"Europe","Czech Republic",2011,10.5,"Actual","DCD",1
"Europe","Czech Republic",2012,10.6,"Actual","DBD",214
"Europe","Czech Republic",2012,10.6,"Actual","DCD",2
"Europe","Czech Republic",2013,10.7,"Actual","DBD",217
"Europe","Czech Republic",2013,10.7,"Actual","DCD",1
"Europe","Czech Republic",2013,10.7,"Utilized","DBD",205
"Europe","Czech Republic",2013,10.7,"Utilized","DCD",1
"Europe","Czech Republic",2014,10.7,"Actual","DBD",257
"Europe","Czech Republic",2014,10.7,"Actual","DCD",4
"America","Chile",2005,16.3,"Actual","DBD",134
"America","Chile",2010,17.1,"Actual","DBD",92
"America","Chile",2011,17.3,"Actual","DBD",113
"America","Chile",2011,17.3,"Actual","DCD",0
"America","Chile",2012,17.4,"Actual","DBD",149
"America","Chile",2012,17.4,"Actual","DCD",0
"America","Chile",2013,17.6,"Actual","DBD",103
"America","Chile",2013,17.6,"Actual","DCD",0
"America","Chile",2013,17.6,"Utilized","DBD",101
"America","Chile",2013,17.6,"Utilized","DCD",0
"America","Chile",2014,17.8,"Actual","DBD",123
"America","Chile",2014,17.8,"Actual","DCD",0
"America","Chile",2014,17.8,"Utilized","DBD",119
"America","Chile",2014,17.8,"Utilized","DCD",0
"Europe","Denmark",2000,5.3,"Actual","DBD",68
"Europe","Denmark",2001,5.3,"Actual","DBD",70
"Europe","Denmark",2002,5.3,"Actual","DBD",73
"Europe","Denmark",2003,5.4,"Actual","DBD",75
"Europe","Denmark",2003,5.4,"Actual","DCD",0
"Europe","Denmark",2004,5.4,"Actual","DBD",64
"Europe","Denmark",2005,5.4,"Actual","DBD",63
"Europe","Denmark",2007,5.5,"Actual","DBD",72
"Europe","Denmark",2008,5.5,"Actual","DBD",65
"Europe","Denmark",2009,5.5,"Actual","DBD",77
"Europe","Denmark",2009,5.5,"Actual","DCD",0
"Europe","Denmark",2010,5.5,"Actual","DBD",73
"Europe","Denmark",2010,5.5,"Actual","DCD",0
"Europe","Denmark",2011,5.6,"Actual","DBD",73
"Europe","Denmark",2011,5.6,"Actual","DCD",0
"Europe","Denmark",2012,5.6,"Actual","DBD",76
"Europe","Denmark",2012,5.6,"Actual","DCD",0
"Europe","Denmark",2013,5.6,"Actual","DBD",58
"Europe","Denmark",2013,5.6,"Actual","DCD",0
"Europe","Denmark",2014,5.6,"Actual","DBD",80
"Europe","Denmark",2014,5.6,"Actual","DCD",0
"Europe","Denmark",2014,5.6,"Utilized","DBD",79
"Europe","Denmark",2014,5.6,"Utilized","DCD",0
"America","Dominican Republic",2005,8.9,"Actual","DBD",0
"America","Dominican Republic",2007,9.1,"Actual","DBD",0
"America","Dominican Republic",2009,10.1,"Actual","DBD",9
"America","Dominican Republic",2009,10.1,"Actual","DCD",0
"America","Dominican Republic",2010,10.2,"Actual","DBD",11
"America","Dominican Republic",2011,10.1,"Actual","DBD",17
"America","Dominican Republic",2011,10.1,"Actual","DCD",0
"America","Dominican Republic",2012,10.2,"Actual","DBD",17
"America","Dominican Republic",2012,10.2,"Actual","DCD",0
"America","Dominican Republic",2013,10.4,"Actual","DBD",17
"America","Dominican Republic",2013,10.4,"Actual","DCD",0
"America","Dominican Republic",2013,10.4,"Utilized","DBD",16
"America","Dominican Republic",2013,10.4,"Utilized","DCD",0
